periodo,provincia,canton,sostenimiento,total_estudiantes,bachilleres_3ero,anio
2022-2023 Inicio,AZUAY,CAMILO PONCE ENRIQUEZ,FISCAL,8670,507,2022
2022-2023 Inicio,AZUAY,CAMILO PONCE ENRIQUEZ,FISCOMISIONAL,10,0,2022
2022-2023 Inicio,AZUAY,CAMILO PONCE ENRIQUEZ,PARTICULAR,316,17,2022
2022-2023 Inicio,AZUAY,CHORDELEG,FISCAL,3027,164,2022
2022-2023 Inicio,AZUAY,CHORDELEG,PARTICULAR,283,23,2022
2022-2023 Inicio,AZUAY,CUENCA,FISCAL,96990,5672,2022
2022-2023 Inicio,AZUAY,CUENCA,FISCOMISIONAL,13034,1273,2022
2022-2023 Inicio,AZUAY,CUENCA,MUNICIPAL,278,0,2022
2022-2023 Inicio,AZUAY,CUENCA,PARTICULAR,35665,2554,2022
2022-2023 Inicio,AZUAY,EL PAN,FISCAL,491,24,2022
2022-2023 Inicio,AZUAY,GIRON,FISCAL,2662,177,2022
2022-2023 Inicio,AZUAY,GIRON,FISCOMISIONAL,351,0,2022
2022-2023 Inicio,AZUAY,GIRON,MUNICIPAL,22,0,2022
2022-2023 Inicio,AZUAY,GUACHAPALA,FISCAL,560,33,2022
2022-2023 Inicio,AZUAY,GUALACEO,FISCAL,10007,482,2022
2022-2023 Inicio,AZUAY,GUALACEO,FISCOMISIONAL,34,11,2022
2022-2023 Inicio,AZUAY,GUALACEO,PARTICULAR,1188,77,2022
2022-2023 Inicio,AZUAY,NABON,FISCAL,3299,195,2022
2022-2023 Inicio,AZUAY,NABON,FISCOMISIONAL,22,10,2022
2022-2023 Inicio,AZUAY,OÑA,FISCAL,736,57,2022
2022-2023 Inicio,AZUAY,OÑA,FISCOMISIONAL,192,14,2022
2022-2023 Inicio,AZUAY,PAUTE,FISCAL,5259,365,2022
2022-2023 Inicio,AZUAY,PAUTE,FISCOMISIONAL,1162,82,2022
2022-2023 Inicio,AZUAY,PAUTE,PARTICULAR,270,0,2022
2022-2023 Inicio,AZUAY,PUCARA,FISCAL,2271,104,2022
2022-2023 Inicio,AZUAY,SAN FERNANDO,FISCAL,799,53,2022
2022-2023 Inicio,AZUAY,SANTA ISABEL,FISCAL,4362,250,2022
2022-2023 Inicio,AZUAY,SANTA ISABEL,FISCOMISIONAL,549,25,2022
2022-2023 Inicio,AZUAY,SEVILLA DE ORO,FISCAL,1128,86,2022
2022-2023 Inicio,AZUAY,SIGSIG,FISCAL,5781,301,2022
2022-2023 Inicio,AZUAY,SIGSIG,FISCOMISIONAL,494,54,2022
2022-2023 Inicio,AZUAY,SIGSIG,PARTICULAR,106,0,2022
2022-2023 Inicio,BOLIVAR,CALUMA,FISCAL,4499,330,2022
2022-2023 Inicio,BOLIVAR,CALUMA,FISCOMISIONAL,63,17,2022
2022-2023 Inicio,BOLIVAR,CALUMA,MUNICIPAL,115,18,2022
2022-2023 Inicio,BOLIVAR,CALUMA,PARTICULAR,218,14,2022
2022-2023 Inicio,BOLIVAR,CHILLANES,FISCAL,4499,262,2022
2022-2023 Inicio,BOLIVAR,CHILLANES,FISCOMISIONAL,186,51,2022
2022-2023 Inicio,BOLIVAR,CHIMBO,FISCAL,2430,192,2022
2022-2023 Inicio,BOLIVAR,CHIMBO,FISCOMISIONAL,485,0,2022
2022-2023 Inicio,BOLIVAR,ECHEANDIA,FISCAL,4494,317,2022
2022-2023 Inicio,BOLIVAR,ECHEANDIA,FISCOMISIONAL,76,36,2022
2022-2023 Inicio,BOLIVAR,GUARANDA,FISCAL,21817,1542,2022
2022-2023 Inicio,BOLIVAR,GUARANDA,FISCOMISIONAL,2126,174,2022
2022-2023 Inicio,BOLIVAR,GUARANDA,PARTICULAR,1465,105,2022
2022-2023 Inicio,BOLIVAR,LAS NAVES,FISCAL,1590,110,2022
2022-2023 Inicio,BOLIVAR,LAS NAVES,FISCOMISIONAL,75,18,2022
2022-2023 Inicio,BOLIVAR,LAS NAVES,PARTICULAR,94,0,2022
2022-2023 Inicio,BOLIVAR,SAN MIGUEL,FISCAL,5778,490,2022
2022-2023 Inicio,BOLIVAR,SAN MIGUEL,FISCOMISIONAL,370,54,2022
2022-2023 Inicio,CARCHI,BOLIVAR,FISCAL,3133,195,2022
2022-2023 Inicio,CARCHI,BOLIVAR,FISCOMISIONAL,266,0,2022
2022-2023 Inicio,CARCHI,ESPEJO,FISCAL,2935,188,2022
2022-2023 Inicio,CARCHI,MIRA,FISCAL,2445,200,2022
2022-2023 Inicio,CARCHI,MIRA,FISCOMISIONAL,755,47,2022
2022-2023 Inicio,CARCHI,MONTUFAR,FISCAL,5634,390,2022
2022-2023 Inicio,CARCHI,MONTUFAR,FISCOMISIONAL,1347,92,2022
2022-2023 Inicio,CARCHI,MONTUFAR,PARTICULAR,35,0,2022
2022-2023 Inicio,CARCHI,SAN PEDRO DE HUACA,FISCAL,1478,109,2022
2022-2023 Inicio,CARCHI,SAN PEDRO DE HUACA,FISCOMISIONAL,442,21,2022
2022-2023 Inicio,CARCHI,TULCAN,FISCAL,15701,901,2022
2022-2023 Inicio,CARCHI,TULCAN,FISCOMISIONAL,4815,429,2022
2022-2023 Inicio,CARCHI,TULCAN,MUNICIPAL,232,8,2022
2022-2023 Inicio,CARCHI,TULCAN,PARTICULAR,857,0,2022
2022-2023 Inicio,CAÑAR,AZOGUES,FISCAL,16853,1026,2022
2022-2023 Inicio,CAÑAR,AZOGUES,FISCOMISIONAL,1206,73,2022
2022-2023 Inicio,CAÑAR,AZOGUES,PARTICULAR,2534,181,2022
2022-2023 Inicio,CAÑAR,BIBLIAN,FISCAL,2917,154,2022
2022-2023 Inicio,CAÑAR,BIBLIAN,FISCOMISIONAL,546,0,2022
2022-2023 Inicio,CAÑAR,CAÑAR,FISCAL,11307,597,2022
2022-2023 Inicio,CAÑAR,CAÑAR,FISCOMISIONAL,2026,132,2022
2022-2023 Inicio,CAÑAR,DELEG,FISCAL,1026,73,2022
2022-2023 Inicio,CAÑAR,DELEG,FISCOMISIONAL,244,0,2022
2022-2023 Inicio,CAÑAR,EL TAMBO,FISCAL,1809,101,2022
2022-2023 Inicio,CAÑAR,EL TAMBO,FISCOMISIONAL,802,13,2022
2022-2023 Inicio,CAÑAR,LA TRONCAL,FISCAL,18698,851,2022
2022-2023 Inicio,CAÑAR,LA TRONCAL,FISCOMISIONAL,157,42,2022
2022-2023 Inicio,CAÑAR,LA TRONCAL,PARTICULAR,2364,181,2022
2022-2023 Inicio,CAÑAR,SUSCAL,FISCAL,1138,40,2022
2022-2023 Inicio,CAÑAR,SUSCAL,FISCOMISIONAL,50,0,2022
2022-2023 Inicio,CHIMBORAZO,ALAUSI,FISCAL,9519,538,2022
2022-2023 Inicio,CHIMBORAZO,ALAUSI,FISCOMISIONAL,361,17,2022
2022-2023 Inicio,CHIMBORAZO,CHAMBO,FISCAL,2042,96,2022
2022-2023 Inicio,CHIMBORAZO,CHAMBO,PARTICULAR,13,0,2022
2022-2023 Inicio,CHIMBORAZO,CHUNCHI,FISCAL,2506,120,2022
2022-2023 Inicio,CHIMBORAZO,CHUNCHI,FISCOMISIONAL,466,19,2022
2022-2023 Inicio,CHIMBORAZO,COLTA,FISCAL,5513,471,2022
2022-2023 Inicio,CHIMBORAZO,COLTA,FISCOMISIONAL,233,0,2022
2022-2023 Inicio,CHIMBORAZO,COLTA,PARTICULAR,13,6,2022
2022-2023 Inicio,CHIMBORAZO,CUMANDA,FISCAL,4137,223,2022
2022-2023 Inicio,CHIMBORAZO,CUMANDA,FISCOMISIONAL,165,47,2022
2022-2023 Inicio,CHIMBORAZO,CUMANDA,PARTICULAR,322,0,2022
2022-2023 Inicio,CHIMBORAZO,GUAMOTE,FISCAL,9906,589,2022
2022-2023 Inicio,CHIMBORAZO,GUAMOTE,FISCOMISIONAL,246,21,2022
2022-2023 Inicio,CHIMBORAZO,GUAMOTE,PARTICULAR,121,0,2022
2022-2023 Inicio,CHIMBORAZO,GUANO,FISCAL,4774,276,2022
2022-2023 Inicio,CHIMBORAZO,GUANO,FISCOMISIONAL,659,20,2022
2022-2023 Inicio,CHIMBORAZO,PALLATANGA,FISCAL,3036,194,2022
2022-2023 Inicio,CHIMBORAZO,PALLATANGA,PARTICULAR,69,0,2022
2022-2023 Inicio,CHIMBORAZO,PENIPE,FISCAL,1201,65,2022
2022-2023 Inicio,CHIMBORAZO,RIOBAMBA,FISCAL,50448,3977,2022
2022-2023 Inicio,CHIMBORAZO,RIOBAMBA,FISCOMISIONAL,10079,961,2022
2022-2023 Inicio,CHIMBORAZO,RIOBAMBA,PARTICULAR,11770,784,2022
2022-2023 Inicio,COTOPAXI,LA MANA,FISCAL,14807,1063,2022
2022-2023 Inicio,COTOPAXI,LA MANA,FISCOMISIONAL,236,101,2022
2022-2023 Inicio,COTOPAXI,LA MANA,PARTICULAR,606,63,2022
2022-2023 Inicio,COTOPAXI,LATACUNGA,FISCAL,45469,3247,2022
2022-2023 Inicio,COTOPAXI,LATACUNGA,FISCOMISIONAL,3289,327,2022
2022-2023 Inicio,COTOPAXI,LATACUNGA,PARTICULAR,7141,512,2022
2022-2023 Inicio,COTOPAXI,PANGUA,FISCAL,4774,362,2022
2022-2023 Inicio,COTOPAXI,PANGUA,FISCOMISIONAL,493,66,2022
2022-2023 Inicio,COTOPAXI,PUJILI,FISCAL,16160,1226,2022
2022-2023 Inicio,COTOPAXI,PUJILI,PARTICULAR,587,63,2022
2022-2023 Inicio,COTOPAXI,SALCEDO,FISCAL,12742,855,2022
2022-2023 Inicio,COTOPAXI,SALCEDO,FISCOMISIONAL,86,17,2022
2022-2023 Inicio,COTOPAXI,SALCEDO,MUNICIPAL,436,30,2022
2022-2023 Inicio,COTOPAXI,SALCEDO,PARTICULAR,2049,118,2022
2022-2023 Inicio,COTOPAXI,SAQUISILI,FISCAL,5517,356,2022
2022-2023 Inicio,COTOPAXI,SAQUISILI,PARTICULAR,720,22,2022
2022-2023 Inicio,COTOPAXI,SIGCHOS,FISCAL,4319,259,2022
2022-2023 Inicio,COTOPAXI,SIGCHOS,PARTICULAR,164,10,2022
2022-2023 Inicio,EL ORO,ARENILLAS,FISCAL,7651,505,2022
2022-2023 Inicio,EL ORO,ARENILLAS,PARTICULAR,324,34,2022
2022-2023 Inicio,EL ORO,ATAHUALPA,FISCAL,1173,53,2022
2022-2023 Inicio,EL ORO,BALSAS,FISCAL,2008,123,2022
2022-2023 Inicio,EL ORO,BALSAS,PARTICULAR,393,32,2022
2022-2023 Inicio,EL ORO,CHILLA,FISCAL,426,22,2022
2022-2023 Inicio,EL ORO,EL GUABO,FISCAL,13880,735,2022
2022-2023 Inicio,EL ORO,EL GUABO,PARTICULAR,1105,41,2022
2022-2023 Inicio,EL ORO,HUAQUILLAS,FISCAL,12994,759,2022
2022-2023 Inicio,EL ORO,HUAQUILLAS,FISCOMISIONAL,67,26,2022
2022-2023 Inicio,EL ORO,HUAQUILLAS,MUNICIPAL,788,108,2022
2022-2023 Inicio,EL ORO,HUAQUILLAS,PARTICULAR,1463,77,2022
2022-2023 Inicio,EL ORO,LAS LAJAS,FISCAL,1204,82,2022
2022-2023 Inicio,EL ORO,MACHALA,FISCAL,55045,3264,2022
2022-2023 Inicio,EL ORO,MACHALA,FISCOMISIONAL,1973,227,2022
2022-2023 Inicio,EL ORO,MACHALA,PARTICULAR,15443,1048,2022
2022-2023 Inicio,EL ORO,MARCABELI,FISCAL,1160,98,2022
2022-2023 Inicio,EL ORO,MARCABELI,FISCOMISIONAL,356,0,2022
2022-2023 Inicio,EL ORO,PASAJE,FISCAL,18848,1214,2022
2022-2023 Inicio,EL ORO,PASAJE,FISCOMISIONAL,677,133,2022
2022-2023 Inicio,EL ORO,PASAJE,PARTICULAR,2607,228,2022
2022-2023 Inicio,EL ORO,PIÑAS,FISCAL,5695,450,2022
2022-2023 Inicio,EL ORO,PIÑAS,FISCOMISIONAL,999,0,2022
2022-2023 Inicio,EL ORO,PORTOVELO,FISCAL,3023,172,2022
2022-2023 Inicio,EL ORO,SANTA ROSA,FISCAL,17981,1045,2022
2022-2023 Inicio,EL ORO,SANTA ROSA,FISCOMISIONAL,648,0,2022
2022-2023 Inicio,EL ORO,SANTA ROSA,PARTICULAR,1335,106,2022
2022-2023 Inicio,EL ORO,ZARUMA,FISCAL,5229,388,2022
2022-2023 Inicio,EL ORO,ZARUMA,FISCOMISIONAL,556,11,2022
2022-2023 Inicio,ESMERALDAS,ATACAMES,FISCAL,14447,661,2022
2022-2023 Inicio,ESMERALDAS,ATACAMES,FISCOMISIONAL,1673,117,2022
2022-2023 Inicio,ESMERALDAS,ATACAMES,PARTICULAR,589,33,2022
2022-2023 Inicio,ESMERALDAS,ELOY ALFARO,FISCAL,14199,693,2022
2022-2023 Inicio,ESMERALDAS,ELOY ALFARO,FISCOMISIONAL,1785,138,2022
2022-2023 Inicio,ESMERALDAS,ELOY ALFARO,PARTICULAR,41,0,2022
2022-2023 Inicio,ESMERALDAS,ESMERALDAS,FISCAL,44794,2273,2022
2022-2023 Inicio,ESMERALDAS,ESMERALDAS,FISCOMISIONAL,17266,1340,2022
2022-2023 Inicio,ESMERALDAS,ESMERALDAS,PARTICULAR,3237,161,2022
2022-2023 Inicio,ESMERALDAS,MUISNE,FISCAL,9630,352,2022
2022-2023 Inicio,ESMERALDAS,MUISNE,FISCOMISIONAL,831,20,2022
2022-2023 Inicio,ESMERALDAS,MUISNE,MUNICIPAL,15,0,2022
2022-2023 Inicio,ESMERALDAS,QUININDE,FISCAL,29776,1438,2022
2022-2023 Inicio,ESMERALDAS,QUININDE,FISCOMISIONAL,3438,313,2022
2022-2023 Inicio,ESMERALDAS,QUININDE,PARTICULAR,2525,142,2022
2022-2023 Inicio,ESMERALDAS,RIOVERDE,FISCAL,9069,329,2022
2022-2023 Inicio,ESMERALDAS,RIOVERDE,FISCOMISIONAL,1061,67,2022
