anio,pib_real_musd,pib_percapita_nominal,variacion_pib_pct
2000,52158.03995407,1404.6,
2001,54351.94923581,1823.7,4.206
2002,57030.4656665354,2097.1,4.928
2003,58675.5100439129,2358.0,2.885
2004,62684.4538267914,2633.0,6.832
2005,66068.550034407,2960.7,5.399
2006,68936.6738678391,3298.4,4.341
2007,70248.1450951001,3533.7,1.902
2008,74859.8810834904,4257.9,6.565
2009,75676.6114547341,4111.5,1.091
2010,78725.7261435126,4578.9,4.029
2011,85402.8305599708,5210.0,8.481
2012,90341.8572599477,5682.1,5.783
2013,96856.6218345491,6144.1,7.211
2014,100949.846111799,6422.1,4.226
2015,101070.674666627,5975.1,0.12
2016,100375.354004134,5907.9,-0.688
2017,106368.164115476,6221.0,5.97
2018,107478.961000081,6293.5,1.044
2019,107656.736000003,6199.0,0.165
2020,97703.7671816773,5469.8,-9.245
2021,106909.311286729,6084.7,9.422
2022,113183.202468606,6555.5,5.868
2023,115433.554063159,6792.7,1.988
2024,113123.434604466,6939.3,-2.001
2025,117376.0,,3.759
